transaction_id,player_id,transaction_datetime,game_type,payment_method,stake_amount,win_amount,deposit_amount,withdrawal_amount,bonus_amount,transaction_date
T000001,P0001,2026-03-02 03:55:00,Live Casino,E-Wallet,60.38,55.1,24.99,0.0,0.0,2026-03-02
T000002,P0001,2026-03-19 05:11:00,Slots,E-Wallet,26.32,22.16,27.72,0.0,0.0,2026-03-19
T000003,P0001,2026-03-20 10:32:00,Slots,Card,57.18,54.37,0.0,0.0,0.0,2026-03-20
T000004,P0001,2026-03-30 07:54:00,Sportsbook,Card,44.46,15.53,0.0,0.0,0.0,2026-03-30
T000005,P0001,2026-03-25 05:07:00,Slots,Card,34.44,24.98,0.0,0.0,0.0,2026-03-25
T000006,P0001,2026-01-04 18:53:00,Poker,Card,73.94,82.91,0.0,0.0,0.0,2026-01-04
T000007,P0001,2026-02-12 18:07:00,Slots,Crypto,44.85,33.92,52.6,0.0,0.0,2026-02-12
T000008,P0001,2026-03-19 10:25:00,Slots,Crypto,8.71,10.58,97.48,0.0,49.68,2026-03-19
T000009,P0001,2026-01-07 10:38:00,Sportsbook,Card,66.03,49.29,0.0,0.0,0.0,2026-01-07
T000010,P0001,2026-01-04 10:31:00,Live Casino,Bank Transfer,41.55,38.56,0.0,0.0,21.97,2026-01-04
T000011,P0001,2026-02-05 13:13:00,Slots,Bank Transfer,20.58,22.66,0.0,98.63,0.0,2026-02-05
T000012,P0001,2026-03-05 22:24:00,Poker,Bank Transfer,117.76,101.62,0.0,0.0,0.0,2026-03-05
T000013,P0001,2026-02-21 00:00:00,Slots,E-Wallet,16.59,17.81,45.53,0.0,0.0,2026-02-21
T000014,P0001,2026-02-05 17:51:00,Slots,Bank Transfer,34.08,26.09,42.34,12.75,0.0,2026-02-05
T000015,P0002,2026-01-30 21:10:00,Live Casino,E-Wallet,38.39,25.24,0.0,0.0,0.0,2026-01-30
T000016,P0002,2026-03-31 12:05:00,Live Casino,Card,128.45,41.48,0.0,0.0,0.0,2026-03-31
T000017,P0002,2026-01-12 21:29:00,Slots,Crypto,65.42,44.64,123.29,0.0,0.0,2026-01-12
T000018,P0002,2026-02-06 00:43:00,Slots,E-Wallet,120.91,115.52,0.0,0.0,0.0,2026-02-06
T000019,P0002,2026-02-26 20:54:00,Slots,E-Wallet,206.78,186.65,0.0,50.43,0.0,2026-02-26
T000020,P0002,2026-02-28 09:58:00,Live Casino,Card,127.83,101.59,36.65,45.41,0.0,2026-02-28
T000021,P0002,2026-03-25 14:03:00,Slots,Card,13.16,12.0,33.87,0.0,0.0,2026-03-25
T000022,P0002,2026-01-22 23:48:00,Sportsbook,Card,82.42,86.15,46.51,0.0,0.0,2026-01-22
T000023,P0002,2026-01-23 10:05:00,Live Casino,Crypto,95.62,104.72,6.65,0.0,0.0,2026-01-23
